RGB.R byte;RGB.G byte;RGB.B byte;RGB.R %;RGB.G %;RGB.B %;RGB hexadecimal;HSV.H °;HSV.S %;HSV.V %;HSV.C %;HSL.H °;HSL.S %;HSL.L %;HSL.C %;HWB.H °;HWB.W %;HWB.B %;XYZ.X %;XYZ.Y %;XYZ.Z %;xyY.x %;xyY.y %;xyY.Y %;L*u*v*.L %;L*u*v*.u %;L*u*v*.v %;LCHuv.L %;LCHuv.C %;LCHuv.H °;L*A*B*.L %;L*A*B*.a signed byte;L*A*B*.b signed byte;LCHab.L %;LCHab.C %;LCHab.H °;Hunter LAB.L %;Hunter LAB.a signed %;Hunter LAB.b signed %;LMS.L %;LMS.M %;LMS.S °;Percentage
0;0;0;0;0;0;# 000000;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0,3127;0,329;0;0;-nan;-nan;0;-nan;-nan;0;0;0;0;0;0;0;0;0;0;0;0;0,00195312
0;0;32;0;0;0,125;# 000020;240;100;12,5;12,5;240;100;6,25;12,5;240;0;87,5;0,258926;0,10357;1,36367;0,15;0,06;0,10357;0,935546;-0,272446;-3,77562;0,935546;3,78544;265,873;0,935542;6,57411;-17,2466;0,935542;18,4571;290,866;3,21823;9,04281;-23,9316;0,0127737;0,00194885;1,34322;0,00195312
0;0;64;0;0;0,25;# 000040;240;100;25;25;240;100;12,5;25;240;0;75;0,917995;0,367198;4,83478;0,15;0,06;0,367198;3,31689;-0,96593;-13,3861;3,31689;13,4209;265,873;3,31687;23,2183;-37,5171;3,31687;44,1206;301,752;6,05969;17,0269;-45,0614;0,0452878;0,00690944;4,76227;0,00195312
0;0;96;0;0;0,375;# 000060;240;100;37,5;37,5;240;100;18,75;37,5;240;0;62,5;2,09337;0,837346;11,0251;0,15;0,06;0,837346;7,56372;-2,20268;-30,5252;7,56372;30,6046;265,873;7,56368;38,5864;-52,5918;7,56368;65,2289;306,267;9,15066;25,7122;-68,0467;0,103273;0,0157561;10,8597;0,00195312
0;0;128;0;0;0,5;# 000080;240;100;50;50;240;100;25;50;240;0;50;3,8621;1,54484;20,3404;0,15;0,06;1,54484;12,8903;-3,75387;-52,0221;12,8903;52,1573;265,873;12,8903;47,3684;-64,5199;12,8903;80,0411;306,285;12,4292;34,9243;-92,4265;0,190531;0,0290688;20,0354;0,00195312
0;0;159;0;0;0,625;# 00009F;240;100;62,5;62,5;240;100;31,25;62,5;240;0;37,5;6,28843;2,51537;33,1191;0,15;0,06;2,51537;17,988;-5,23839;-72,5948;17,988;72,7836;265,873;17,988;55,7265;-75,9043;17,988;94,1642;306,285;15,8599;44,5643;-117,939;0,31023;0,0473309;32,6224;0,00195312
0;0;191;0;0;0,75;# 0000BF;240;100;75;75;240;100;37,5;75;240;0;25;9,42825;3,7713;49,6554;0,15;0,06;3,7713;22,9005;-6,66898;-92,4204;22,9005;92,6607;265,873;22,9005;63,781;-86,8752;22,9005;107,774;306,285;19,4198;54,5672;-144,411;0,465127;0,0709633;48,9107;0,00195312
0;0;223;0;0;0,875;# 0000DF;240;100;87,5;87,5;240;100;43,75;87,5;240;0;12,5;13,3315;5,33261;70,2127;0,15;0,06;5,33261;27,6621;-8,05564;-111,637;27,6621;111,927;265,873;27,6621;71,5881;-97,5092;27,6621;120,967;306,285;23,0924;64,8867;-171,721;0,65769;0,100342;69,1597;0,00195312
0;0;255;0;0;1;# 0000FF;240;100;100;100;240;100;50;100;240;0;0;18,0437;7,2175;95,0304;0,15;0,06;7,2175;32,297;-9,4054;-130,342;32,297;130,681;265,873;32,297;79,1875;-107,86;32,297;133,808;306,285;26,8654;75,4883;-199,778;0,890159;0,135809;93,6052;0,00195312
0;32;0;0;0,125;0;# 002000;120;100;12,5;12,5;120;100;6,25;12,5;120;0;87,5;0,513117;1,02623;0,171039;0,3;0,6;1,02623;9,2081;-8,71932;11,2719;9,2081;14,2507;127,724;9,2081;-18,6708;13,4296;9,2081;22,999;144,273;10,1303;-8,27514;5,75171;0,789106;1,38205;0,183696;0,00195312
0;32;32;0;0,125;0,125;# 002020;180;100;12,5;12,5;180;100;6,25;12,5;180;0;87,5;0,772043;1,1298;1,53471;0,224656;0,32876;1,1298;10,0291;-7,75765;-1,67357;10,0291;7,93612;192,174;10,0291;-11,603;-3,43396;10,0291;12,1004;196,486;10,6292;-5,14882;-1,76409;0,80188;1,384;1,52692;0,00195312
0;32;64;0;0,125;0,25;# 002040;210;100;25;25;210;100;12,5;25;210;0;75;1,43111;1,39343;5,00581;0,182765;0,177953;1,39343;11,9139;-6,90378;-20,5324;11,9139;21,662;251,415;11,9139;3,14793;-23,5202;11,9139;23,73;277,623;11,8044;1,63906;-18,1959;0,834394;1,38896;4,94596;0,00195312
0;32;96;0;0,125;0,375;# 002060;220;100;37,5;37,5;220;100;18,75;37,5;220;0;62,5;2,60648;1,86358;11,1961;0,166377;0,118956;1,86358;14,7544;-6,77305;-39,6805;14,7544;40,2544;260,314;14,7544;18,2173;-40,6736;14,7544;44,5669;294,127;13,6513;11,0944;-41,3445;0,892379;1,3978;11,0434;0,00195312
0;32;128;0;0,125;0,5;# 002080;225;100;50;50;225;100;25;50;225;0;50;4,37522;2,57108;20,5115;0,159344;0,0936375;2,57108;18,237;-7,19029;-58,5242;18,237;58,9642;262,996;18,237;31,6207;-55,621;18,237;63,9809;299,618;16,0346;21,8434;-68,0104;0,979637;1,41112;20,2191;0,00195312
