RGB.R byte;RGB.G byte;RGB.G byte;RGB hexadecimal;HSV.H °;HSV.S %;HSV.V %;HSV.C %;HSL.H °;HSL.S %;HSL.L %;HSL.C %;XYZ.X %;XYZ.Y %;XYZ.Z %;L*A*B*.L %;L*A*B*.a signed byte;L*A*B*.b signed byte;HWB.H °;HWB.W %;HWB.B %;Hunter LAB.L %;Hunter LAB.a signed byte;Hunter LAB.b signed byte;LCH.L %;LCH.C %;LCH.H °;Percentage
0;0;0;# 000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0.00195312
0;0;32;# 000020;240;100;12.5;12.5;240;100;6.25;12.5;0.272513;0.103606;1.25268;0.935865;6.57639;-17.2493;240;0;87.5;0.321879;0.980479;-2.18036;0.935865;14.5357;290.87;0.00195312
0;0;64;# 000040;240;100;25;25;240;100;12.5;25;0.966168;0.367325;4.44126;3.31802;23.2256;-37.52;240;0;75;0.606074;1.84617;-4.10545;3.31802;34.7456;301.758;0.00195312
0;0;96;# 000060;240;100;37.5;37.5;240;100;18.75;37.5;2.20322;0.837637;10.1277;7.56631;38.5913;-52.5937;240;0;62.5;0.915225;2.78788;-6.1996;7.56631;51.3648;306.27;0.00195312
0;0;128;# 000080;240;100;50;50;240;100;25;50;4.06477;1.54538;18.6848;12.8937;47.3739;-64.522;240;0;50;1.24313;3.78672;-8.42079;12.8937;63.0284;306.287;0.00195312
0;0;159;# 00009F;240;100;62.5;62.5;240;100;31.25;62.5;6.61842;2.51624;30.4234;17.9919;55.733;-75.9067;240;0;37.5;1.58627;4.83195;-10.7451;17.9919;74.1496;306.287;0.00195312
0;0;191;# 0000BF;240;100;75;75;240;100;37.5;75;9.923;3.77261;45.6138;22.905;63.7884;-86.878;240;0;25;1.94232;5.91652;-13.157;22.905;84.867;306.287;0.00195312
0;0;223;# 0000DF;240;100;87.5;87.5;240;100;43.75;87.5;14.0311;5.33446;64.4979;27.6671;71.5964;-97.5124;240;0;12.5;2.30964;7.03543;-15.6452;27.6671;95.2551;306.287;0.00195312
0;0;255;# 0000FF;240;100;100;100;240;100;50;100;18.9906;7.22;87.2955;32.3026;79.1967;-107.864;240;0;0;2.68701;8.18492;-18.2014;32.3026;105.367;306.287;0.00195312
0;32;0;# 002000;120;100;12.5;12.5;120;100;6.25;12.5;0.539892;1.0263;0.157096;9.20866;-18.6718;13.4304;120;0;87.5;1.01307;-0.779676;0.583671;9.20866;18.1104;144.273;0.00195312
0;32;32;# 002020;180;100;12.5;12.5;180;100;6.25;12.5;0.812405;1.12991;1.40978;10.0299;-11.6013;-3.43564;180;0;87.5;1.06297;-0.446171;-0.103968;10.0299;9.52705;196.496;0.00195312
0;32;64;# 002040;210;100;25;25;210;100;12.5;25;1.50606;1.39363;4.59835;11.9152;3.15242;-23.5228;210;0;75;1.18052;0.278733;-1.60684;11.9152;18.6875;277.633;0.00195312
0;32;96;# 002060;220;100;37.5;37.5;220;100;18.75;37.5;2.74311;1.86394;10.2848;14.7564;18.2235;-40.6765;220;0;62.5;1.36526;1.29035;-3.7229;14.7564;35.0962;294.133;0.00195312
0;32;128;# 002080;225;100;50;50;225;100;25;50;4.60466;2.57168;18.8419;18.2397;31.6279;-55.6242;225;0;50;1.60365;2.44289;-6.159;18.2397;50.3837;299.623;0.00195312
0;32;159;# 00209F;228;100;62.5;62.5;228;100;31.25;62.5;7.15831;3.54255;30.5805;22.0975;43.3928;-69.0593;228;0;37.5;1.88217;3.65265;-8.74172;22.0975;64.2209;302.143;0.00195312
0;32;191;# 0020BF;230;100;75;75;230;100;37.5;75;10.4629;4.79891;45.7709;26.154;53.9082;-81.4528;230;0;25;2.19064;4.88529;-11.3956;26.154;76.9104;303.498;0.00195312
0;32;223;# 0020DF;231.429;100;87.5;87.5;231.429;100;43.75;87.5;14.571;6.36076;64.655;30.305;63.517;-93.1045;231.429;0;12.5;2.52206;6.12972;-14.0931;30.305;88.7457;304.302;0.00195312
0;32;255;# 0020FF;232.5;100;100;100;232.5;100;50;100;19.5305;8.2463;87.4526;34.4907;72.4634;-104.206;232.5;0;0;2.87164;7.38361;-16.8252;34.4907;99.9404;304.814;0.00195312
0;64;0;# 004000;120;100;25;25;120;100;12.5;25;1.91414;3.63866;0.556968;22.439;-31.9351;30.0137;120;0;75;1.90753;-1.46807;1.09901;22.439;34.5082;136.777;0.00195312
0;64;32;# 004020;150;100;25;25;150;100;12.5;25;2.18665;3.74226;1.80965;22.8004;-27.4251;14.3889;150;0;75;1.93449;-1.28446;0.720899;22.8004;24.3863;152.316;0.00195312
0;64;64;# 004040;180;100;25;25;180;100;12.5;25;2.8803;4.00598;4.99822;23.6912;-17.8155;-5.23878;180;0;75;2.0015;-0.840107;-0.195764;23.6912;14.6219;196.386;0.00195312
0;64;96;# 004060;200;100;37.5;37.5;200;100;18.75;37.5;4.11735;4.47629;10.6847;25.1874;-4.87807;-23.8911;200;0;62.5;2.11573;-0.117619;-1.69097;25.1874;19.2;258.46;0.00195312
0;64;128;# 004080;210;100;50;50;210;100;25;50;5.97891;5.18403;19.2418;27.2528;9.07937;-40.8899;210;0;50;2.27685;0.837564;-3.67691;27.2528;32.9809;282.519;0.00195312
0;64;159;# 00409F;216;100;62.5;62.5;216;100;31.25;62.5;8.53256;6.1549;30.9804;29.7999;22.7082;-56.364;216;0;37.5;2.48091;1.96072;-6.02533;29.7999;47.8476;291.944;0.00195312
0;64;191;# 0040BF;220;100;75;75;220;100;37.5;75;11.8371;7.41126;46.1708;32.7254;35.4771;-70.5704;220;0;25;2.72236;3.19259;-8.61703;32.7254;62.1938;296.69;0.00195312
0;64;223;# 0040DF;222.857;100;87.5;87.5;222.857;100;43.75;87.5;15.9452;8.97312;65.0548;35.9325;47.2849;-83.7578;222.857;0;12.5;2.99552;4.4897;-11.3631;35.9325;75.7349;299.447;0.00195312
0;64;255;# 0040FF;225;100;100;100;225;100;50;100;20.9047;10.8587;87.8525;39.3414;58.2056;-96.1335;225;0;0;3.29525;5.82431;-14.2056;39.3414;88.4891;301.193;0.00195312
0;96;0;# 006000;120;100;37.5;37.5;120;100;18.75;37.5;4.36493;8.29747;1.27009;34.5949;-42.0342;40.5693;120;0;62.5;2.88053;-2.21692;1.6596;34.5949;45.999;136.016;0.00195312
0;96;32;# 006020;140;100;37.5;37.5;140;100;18.75;37.5;4.63744;8.40108;2.52277;34.8046;-39.3482;28.9368;140;0;62.5;2.89846;-2.09432;1.4072;34.8046;38.4589;143.669;0.00195312
0;96;64;# 006040;160;100;37.5;37.5;160;100;18.75;37.5;5.3311;8.6648;5.71135;35.3307;-33.0723;11.4802;160;0;62.5;2.9436;-1.7893;0.778748;35.3307;27.5655;160.857;0.00195312
0;96;96;# 006060;180;100;37.5;37.5;180;100;18.75;37.5;6.56815;9.13511;11.3978;36.2431;-23.4495;-6.89548;180;0;62.5;3.02243;-1.26864;-0.295621;36.2431;19.2459;196.386;0.00195312
0;96;128;# 006080;195;100;50;50;195;100;25;50;8.4297;9.84285;19.9549;37.5589;-11.6235;-24.5299;195;0;50;3.13733;-0.535012;-1.81289;37.5589;21.3736;244.646;0.00195312
0;96;159;# 00609F;204;100;62.5;62.5;204;100;31.25;62.5;10.9834;10.8137;31.6935;39.2649;1.23914;-41.0755;204;0;37.5;3.28842;0.388896;-3.72949;39.2649;32.3576;271.728;0.00195312
0;96;191;# 0060BF;210;100;75;75;210;100;37.5;75;14.2879;12.0701;46.8839;41.3273;14.2922;-56.5313;210;0;25;3.4742;1.46965;-5.97966;41.3273;45.9134;284.188;0.00195312
0;96;223;# 0060DF;214.286;100;87.5;87.5;214.286;100;43.75;87.5;18.396;13.6319;65.7679;43.7004;27.0371;-70.9957;214.286;0;12.5;3.69214;2.67147;-8.49217;43.7004;59.8187;290.848;0.00195312
0;96;255;# 0060FF;217.5;100;100;100;217.5;100;50;100;23.3555;15.5175;88.5656;46.335;39.2316;-84.5925;217.5;0;0;3.93922;3.96195;-11.2019;46.335;73.4228;294.881;0.00195312
0;128;0;# 008000;120;100;50;50;120;100;25;50;8.05298;15.3082;2.34322;46.0535;-51.554;49.7574;120;0;50;3.91257;-3.01119;2.2542;46.0535;56.4167;136.016;0.00195312
0;128;32;# 008020;135;100;50;50;135;100;25;50;8.32549;15.4118;3.5959;46.1932;-49.7475;41.2161;135;0;50;3.92579;-2.92066;2.06784;46.1932;50.8687;140.358;0.00195312
0;128;64;# 008040;150;100;50;50;150;100;25;50;9.01914;15.6755;6.78448;46.5459;-45.3655;26.2668;150;0;50;3.95924;-2.69309;1.59918;46.5459;41.2765;149.929;0.00195312
0;128;96;# 008060;165;100;50;50;165;100;25;50;10.2562;16.1459;12.4709;47.1653;-38.2194;8.98327;165;0;50;4.01819;-2.29705;0.782864;47.1653;30.9142;166.773;0.00195312
0;128;128;# 008080;180;100;50;50;180;100;25;50;12.1177;16.8536;21.0281;48.075;-28.7603;-8.45715;180;0;50;4.10531;-1.72316;-0.401536;48.075;23.6047;196.386;0.00195312
0;128;159;# 00809F;192;100;62.5;62.5;192;100;31.25;62.5;14.6714;17.8245;32.7666;49.2825;-17.6798;-25.3258;192;0;37.5;4.2219;-0.975094;-1.94816;49.2825;24.32;235.081;0.00195312
0;128;191;# 0080BF;200;100;75;75;200;100;37.5;75;17.976;19.0808;47.957;50.7816;-5.6667;-41.4072;200;0;25;4.36816;-0.0663294;-3.83121;50.7816;32.908;262.207;0.00195312
0;128;223;# 0080DF;205.714;100;87.5;87.5;205.714;100;43.75;87.5;22.0841;20.6427;66.8411;52.5562;6.72376;-56.668;205.714;0;12.5;4.54342;0.983365;-6.01201;52.5562;44.9335;276.767;0.00195312
0;128;255;# 0080FF;210;100;100;100;210;100;50;100;27.0436;22.5282;89.6388;54.583;19.1018;-71.1443;210;0;0;4.74639;2.1514;-8.44589;54.583;58.0032;285.029;0.00195312
0;159;0;# 009F00;120;100;62.5;62.5;120;100;31.25;62.5;13.1122;24.9255;3.81533;57.0027;-60.6506;58.537;120;0;37.5;4.99254;-3.84236;2.87642;57.0027;66.3713;136.016;0.00195312
0;159;32;# 009F20;132;100;62.5;62.5;132;100;31.25;62.5;13.3847;25.0291;5.06801;57.1037;-59.3383;52.0277;132;0;37.5;5.0029;-3.77131;2.73018;57.1037;62.1395;138.756;0.00195312
0;159;64;# 009F40;144;100;62.5;62.5;144;100;31.25;62.5;14.0783;25.2928;8.25658;57.3596;-56.097;39.393;144;0;37.5;5.02919;-3.59187;2.3607;57.3596;53.974;144.922;0.00195312
0;159;96;# 009F60;156;100;62.5;62.5;156;100;31.25;62.5;15.3154;25.7631;13.943;57.8115;-50.6393;23.5524;156;0;37.5;5.07574;-3.27668;1.7114;57.8115;43.9752;155.057;0.00195312
0;159;128;# 009F80;168;100;62.5;62.5;168;100;31.25;62.5;17.1769;26.4708;22.5002;58.4813;-43.0995;6.77168;168;0;37.5;5.14498;-2.81356;0.756556;58.4813;34.3529;171.071;0.00195312
0;159;159;# 009F9F;180;100;62.5;62.5;180;100;31.25;62.5;19.7306;27.4417;34.2387;59.381;-33.835;-9.9494;180;0;37.5;5.23848;-2.1988;-0.51237;59.381;27.7697;196.386;0.00195312
0;159;191;# 009FBF;190;100;75;75;190;100;37.5;75;23.0352;28.6981;49.4291;60.5142;-23.3003;-26.2126;190;0;25;5.35706;-1.43574;-2.08967;60.5142;27.6153;228.366;0.00195312
0;159;223;# 009FDF;197.143;100;87.5;87.5;197.143;100;43.75;87.5;27.1433;30.2599;68.3132;61.8778;-11.9445;-41.8707;197.143;0;12.5;5.5009;-0.533324;-3.9583;61.8778;34.2843;254.078;0.00195312
0;159;255;# 009FFF;202.5;100;100;100;202.5;100;50;100;32.1028;32.1455;91.1109;63.4629;-0.151604;-56.8841;202.5;0;0;5.6697;0.495583;-6.0932;63.4629;44.7908;269.847;0.00195312
0;191;0;# 00BF00;120;100;75;75;120;100;37.5;75;19.6591;37.3707;5.72032;67.5543;-69.4168;66.9977;120;0;25;6.11316;-4.70481;3.52205;67.5543;75.9644;136.016;0.00195312
0;191;32;# 00BF20;130;100;75;75;130;100;37.5;75;19.9316;37.4744;6.973;67.6314;-68.4121;61.8725;130;0;25;6.12163;-4.64675;3.40254;67.6314;72.6308;137.874;0.00195312
0;191;64;# 00BF40;140;100;75;75;140;100;37.5;75;20.6253;37.7381;10.1616;67.8271;-65.9061;51.2004;140;0;25;6.14313;-4.49972;3.09983;67.8271;65.7143;142.157;0.00195312
0;191;96;# 00BF60;150;100;75;75;150;100;37.5;75;21.8623;38.2084;15.848;68.1739;-61.6091;36.8956;150;0;25;6.18129;-4.24017;2.5653;68.1739;56.5449;149.084;0.00195312
0;191;128;# 00BF80;160;100;75;75;160;100;37.5;75;23.7239;38.9161;24.4052;68.6905;-55.5182;21.0332;160;0;25;6.23828;-3.85585;1.77336;68.6905;46.7472;159.251;0.00195312
0;191;159;# 00BF9F;170;100;75;75;170;100;37.5;75;26.2775;39.887;36.1437;69.389;-47.7993;4.75755;170;0;25;6.31562;-3.34037;0.710339;69.389;37.8232;174.316;0.00195312
0;191;191;# 00BFBF;180;100;75;75;180;100;37.5;75;29.5821;41.1434;51.3341;70.2762;-38.7254;-11.3874;180;0;25;6.41431;-2.69234;-0.627376;70.2762;31.7834;196.386;0.00195312
0;191;223;# 00BFDF;188.571;100;87.5;87.5;188.571;100;43.75;87.5;33.6902;42.7052;70.2182;71.3544;-28.6143;-27.154;188.571;0;12.5;6.53492;-1.91462;-2.23476;71.3544;31.0611;223.5;0.00195312
0;191;255;# 00BFFF;195;100;100;100;195;100;50;100;38.6497;44.5907;93.0159;72.6216;-17.7795;-42.4352;195;0;0;6.67763;-1.01358;-4.09971;72.6216;36.2278;247.267;0.00195312
0;223;0;# 00DF00;120;100;87.5;87.5;120;100;43.75;87.5;27.7979;52.8422;8.08853;77.7817;-77.9138;75.1985;120;0;12.5;7.26926;-5.59457;4.18813;77.7817;85.2628;136.016;0.00195312
0;223;32;# 00DF20;128.571;100;87.5;87.5;128.571;100;43.75;87.5;28.0704;52.9458;9.34121;77.843;-77.1149;71.0515;128.571;0;12.5;7.27639;-5.54572;4.08758;77.843;82.5647;137.343;0.00195312
0;223;64;# 00DF40;137.143;100;87.5;87.5;137.143;100;43.75;87.5;28.7641;53.2095;12.5298;77.9985;-75.1107;61.9871;137.143;0;12.5;7.29449;-5.42183;3.83254;77.9985;76.6818;140.468;0.00195312
0;223;96;# 00DF60;145.714;100;87.5;87.5;145.714;100;43.75;87.5;30.0011;53.6798;18.2162;78.2747;-71.6356;49.1679;145.714;0;12.5;7.32665;-5.20249;3.38089;78.2747;68.414;145.536;0.00195312
0;223;128;# 00DF80;154.286;100;87.5;87.5;154.286;100;43.75;87.5;31.8627;54.3876;26.7734;78.6872;-66.6291;34.3504;154.286;0;12.5;7.37479;-4.8762;2.70875;78.6872;59.0256;152.727;0.00195312
0;223;159;# 00DF9F;162.857;100;87.5;87.5;162.857;100;43.75;87.5;34.4163;55.3584;38.5119;79.2473;-60.1534;18.7087;162.857;0;12.5;7.44032;-4.43578;1.801;79.2473;49.6028;162.723;0.00195312
0;223;191;# 00DFBF;171.429;100;87.5;87.5;171.429;100;43.75;87.5;37.7209;56.6148;53.7023;79.9624;-52.3621;2.88724;171.429;0;12.5;7.52428;-3.87766;0.649839;79.9624;41.2927;176.844;0.00195312
0;223;223;# 00DFDF;180;100;87.5;87.5;180;100;43.75;87.5;41.829;58.1766;72.5864;80.8369;-43.4656;-12.7813;180;0;12.5;7.62736;-3.2015;-0.746024;80.8369;35.6739;196.386;0.00195312
0;223;255;# 00DFFF;187.5;100;100;100;187.5;100;50;100;46.7885;60.0622;95.3841;81.872;-33.6969;-28.1293;187.5;0;0;7.74998;-2.40974;-2.38227;81.872;34.5627;219.854;0.00195312
0;255;0;# 00FF00;120;100;100;100;120;100;50;100;37.6235;71.52;10.9475;87.737;-86.1847;83.1812;120;0;0;8.45695;-6.50864;4.87241;87.737;94.3138;136.016;0.00195312
0;255;32;# 00FF20;127.5;100;100;100;127.5;100;50;100;37.896;71.6236;12.2002;87.7871;-85.5311;79.7492;127.5;0;0;8.46307;-6.46664;4.78596;87.7871;92.0805;137.004;0.00195312
0;255;64;# 00FF40;135;100;100;100;135;100;50;100;38.5897;71.8873;15.3888;87.9143;-83.8851;71.9865;135;0;0;8.47864;-6.36002;4.56648;87.9143;87.0382;139.365;0.00195312
0;255;96;# 00FF60;142.5;100;100;100;142.5;100;50;100;39.8267;72.3576;21.0752;88.1405;-81.0109;60.5323;142.5;0;0;8.50633;-6.17089;4.17709;88.1405;79.6285;143.232;0.00195312
0;255;128;# 00FF80;150;100;100;100;150;100;50;100;41.6883;73.0654;29.6324;88.4789;-76.8251;46.7986;150;0;0;8.54783;-5.88873;3.59595;88.4789;70.832;148.652;0.00195312
0;255;159;# 00FF9F;157.5;100;100;100;157.5;100;50;100;44.2419;74.0362;41.3709;88.9396;-71.335;31.9045;157.5;0;0;8.60443;-5.50628;2.80798;88.9396;61.5312;155.903;0.00195312
0;255;191;# 00FFBF;165;100;100;100;165;100;50;100;47.5465;75.2926;56.5613;89.5299;-64.6202;16.5477;165;0;0;8.67713;-5.0191;1.80367;89.5299;52.5239;165.637;0.00195312
0;255;223;# 00FFDF;172.5;100;100;100;172.5;100;50;100;51.6546;76.8545;75.4454;90.2546;-56.8135;1.12652;172.5;0;0;8.76667;-4.42515;0.57843;90.2546;44.7438;178.864;0.00195312
0;255;255;# 00FFFF;180;100;100;100;180;100;50;100;56.6141;78.74;98.2431;91.1165;-48.0796;-14.1381;180;0;0;8.87356;-3.72458;-0.867912;91.1165;39.4608;196.386;0.00195312
32;0;0;# 200000;0;100;12.5;12.5;0;100;6.25;12.5;0.622628;0.305078;0.0254358;2.75575;12.3638;4.35515;0;0;87.5;0.552339;1.09215;0.341927;2.75575;10.3216;19.4049;0.00195312
32;0;32;# 200020;300;100;12.5;12.5;300;100;6.25;12.5;0.895141;0.408684;1.27812;3.69161;18.939;-12.8103;300;0;87.5;0.639284;1.43728;-0.802386;3.69161;18.0036;325.926;0.00195312
32;0;64;# 200040;270;100;25;25;270;100;12.5;25;1.5888;0.672404;4.46669;6.07377;30.5517;-32.9037;270;0;75;0.820002;2.10017;-2.80407;6.07377;35.3548;312.877;0.00195312
32;0;96;# 200060;260;100;37.5;37.5;260;100;18.75;37.5;2.82584;1.14271;10.1531;10.1279;39.675;-48.2552;260;0;62.5;1.06898;2.9512;-5.13122;10.1279;49.1901;309.427;0.00195312
