R;G;B;nm
0.17842;0.02464;0.79694;390
0.17838;0.02482;0.79679;391
0.17831;0.02496;0.79673;392
0.17819;0.02505;0.79676;393
0.17803;0.02510;0.79687;394
0.17784;0.02509;0.79706;395
0.17763;0.02504;0.79733;396
0.17738;0.02494;0.79769;397
0.17711;0.02478;0.79811;398
0.17682;0.02458;0.79860;399
0.17652;0.02432;0.79915;400
0.17621;0.02403;0.79976;401
0.17590;0.02371;0.80040;402
0.17559;0.02338;0.80103;403
0.17530;0.02307;0.80163;404
0.17504;0.02279;0.80217;405
0.17480;0.02255;0.80265;406
0.17457;0.02236;0.80308;407
0.17432;0.02218;0.80349;408
0.17405;0.02202;0.80393;409
0.17372;0.02185;0.80442;410
0.17333;0.02168;0.80499;411
0.17290;0.02150;0.80560;412
0.17243;0.02133;0.80623;413
0.17196;0.02118;0.80685;414
0.17151;0.02106;0.80744;415
0.17107;0.02097;0.80796;416
0.17065;0.02092;0.80844;417
0.17023;0.02090;0.80887;418
0.16980;0.02093;0.80927;419
0.16935;0.02100;0.80966;420
0.16886;0.02111;0.81004;421
0.16834;0.02126;0.81040;422
0.16780;0.02144;0.81076;423
0.16726;0.02165;0.81109;424
0.16672;0.02188;0.81140;425
0.16620;0.02213;0.81167;426
0.16569;0.02240;0.81190;427
0.16518;0.02271;0.81211;428
0.16465;0.02307;0.81228;429
0.16408;0.02349;0.81243;430
0.16346;0.02398;0.81255;431
0.16280;0.02453;0.81267;432
0.16212;0.02512;0.81276;433
0.16142;0.02572;0.81285;434
0.16074;0.02632;0.81294;435
0.16010;0.02689;0.81301;436
0.15949;0.02744;0.81306;437
0.15890;0.02800;0.81309;438
0.15831;0.02860;0.81309;439
0.15769;0.02925;0.81306;440
0.15703;0.02998;0.81299;441
0.15632;0.03080;0.81289;442
0.15557;0.03168;0.81275;443
0.15479;0.03262;0.81259;444
0.15400;0.03360;0.81240;445
0.15320;0.03462;0.81218;446
0.15238;0.03570;0.81192;447
0.15154;0.03686;0.81159;448
0.15068;0.03814;0.81118;449
0.14977;0.03958;0.81065;450
0.14882;0.04119;0.80999;451
0.14779;0.04300;0.80921;452
0.14670;0.04499;0.80831;453
0.14551;0.04717;0.80732;454
0.14423;0.04951;0.80626;455
0.14283;0.05202;0.80515;456
0.14132;0.05471;0.80397;457
0.13972;0.05759;0.80269;458
0.13802;0.06067;0.80130;459
0.13627;0.06397;0.79976;460
0.13446;0.06751;0.79803;461
0.13258;0.07132;0.79610;462
0.13062;0.07543;0.79394;463
0.12855;0.07992;0.79153;464
0.12634;0.08482;0.78884;465
0.12395;0.09020;0.78585;466
0.12137;0.09611;0.78252;467
0.11859;0.10260;0.77881;468
0.11563;0.10971;0.77466;469
0.11247;0.11750;0.77003;470
0.10912;0.12603;0.76485;471
0.10557;0.13535;0.75908;472
0.10182;0.14553;0.75265;473
0.09784;0.15663;0.74553;474
0.09363;0.16873;0.73765;475
0.08916;0.18188;0.72896;476
0.08447;0.19609;0.71944;477
0.07957;0.21135;0.70908;478
0.07450;0.22760;0.69790;479
0.06929;0.24478;0.68593;480
0.06400;0.26281;0.67319;481
0.05863;0.28170;0.65966;482
0.05323;0.30150;0.64528;483
0.04781;0.32221;0.62998;484
0.04243;0.34386;0.61371;485
0.03714;0.36644;0.59642;486
0.03201;0.38982;0.57817;487
0.02711;0.41387;0.55902;488
0.02250;0.43840;0.53909;489
0.01826;0.46323;0.51851;490
0.01443;0.48816;0.49741;491
0.01110;0.51301;0.47589;492
0.00834;0.53760;0.45406;493
0.00623;0.56173;0.43204;494
0.00486;0.58520;0.40993;495
0.00428;0.60787;0.38785;496
0.00443;0.62973;0.36584;497
0.00520;0.65087;0.34393;498
0.00648;0.67137;0.32214;499
0.00817;0.69130;0.30052;500
0.01017;0.71070;0.27912;501
0.01251;0.72943;0.25806;502
0.01525;0.74730;0.23744;503
0.01846;0.76414;0.21740;504
0.02218;0.77978;0.19804;505
0.02648;0.79401;0.17951;506
0.03143;0.80653;0.16204;507
0.03704;0.81710;0.14587;508
0.04333;0.82555;0.13111;509
0.05030;0.83185;0.11785;510
0.05788;0.83606;0.10606;511
0.06588;0.83858;0.09554;512
0.07408;0.83984;0.08609;513
0.08228;0.84018;0.07754;514
0.09030;0.83993;0.06977;515
0.09804;0.83930;0.06266;516
0.10558;0.83823;0.05620;517
0.11304;0.83660;0.05035;518
0.12056;0.83434;0.04510;519
0.12825;0.83134;0.04040;520
0.13620;0.82759;0.03621;521
0.14434;0.82318;0.03248;522
0.15262;0.81824;0.02913;523
0.16097;0.81290;0.02613;524
